indice_tiempo,financiamiento_mercado_capitales_ge_on_vcp,financiamiento_mercado_capitales_ge_ff,financiamiento_mercado_capitales_ge_acciones,financiamiento_mercado_capitales_ge_cdcp,financiamiento_mercado_capitales_ge_total,financiamiento_mercado_capitales_pymes_on_vcp,financiamiento_mercado_capitales_pymes_ff,financiamiento_mercado_capitales_pymes_acciones,financiamiento_mercado_capitales_pymes_cdcp,financiamiento_mercado_capitales_pymes_pagares,financiamiento_mercado_capitales_pymes_total,financiamiento_mercado_capitales_total_general,tasa_interes_vdf_senior,tasa_interes_cpdp,tasa_interes_cpda,emisiones_ge_on,emisiones_ge_ff,emisiones_ge_acc,emisiones_ge_cpd,emisiones_ge_total,emisiones_pymes_on,emisiones_pymes_ff,emisiones_pymes_acc,emisiones_pymes_cpd,emisiones_pymes_pag,emisiones_pymes_total,emisiones_totales_ge_pymes,eff_agropecuarios,eff_estructurados,eff_creditos_comerciales,eff_flujos_futuros,eff_inmobiliario_hipotecario,eff_leasing,eff_prendarios,eff_obras_publicas,eff_prestamos_personales_consumo,eff_tarjetas_credito,eff_innovacion_financiera,eff_financiacion_exportaciones,act_financieras_seguros,actividades_inmobiliarias,agricultura_ganaderia,alimentos_bebidas,bancos,calzado_indumentaria,comercio,construccion,distribucion_energia_electrica,distribucion_de_gas,editoriales_imprentas,equipamiento_hogar,generacion_energia_electrica,grupos_concesionarios,holdings,industria_automotriz,industria_petroleo_gas,industria_farmaceutica,industria_metalurgica_siderurgica,industria_quimica_petroquimica,manufacturas_origen_agropecuario,manufacturas_origen_industrial,manufacturas_actividades_empresariales,manufacturas_papel_celulosa,manufacturas_servicios_informaticos,manufacturas_tecnologia,manufacturas_telecomunicaciones,manufacturas_transporte_energia_electrica,manufacturas_transporte_gas,manufacturas_transporte_pasajeros_peajes
2007-01-01,300000000.0,264272275.96345285,10174221.717990275,1809615.4726529168,576256113.154096,250000.0,3042050.0,,14544482.600547234,,17836532.60054723,594092645.7546432,0.110238894324482,0.1437762,0.12709225,2.0,12.0,1.0,133.0,148.0,1.0,1.0,,2088.0,,2090.0,2238.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2007-02-01,,105398431.68542397,430225080.3858521,1221313.943100881,536844826.01437694,,7508643.226483258,,12338299.838235885,,19846943.064719144,556691769.0790961,0.10414069401383351,0.1475979,0.11412753,,7.0,1.0,147.0,155.0,,3.0,,1438.0,,1441.0,1596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-01,,170457495.85936892,,2353345.7459081206,172810841.60527703,321543.40836012864,26153121.886201438,,15460192.88056687,,41934858.17512844,214745699.78040546,0.10455290323103002,0.12780479,0.10486906,,14.0,,182.0,196.0,1.0,5.0,,1946.0,,1952.0,2148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-01,171808885.28142074,119757048.15336187,70454930.4446241,3086169.7292835927,365107033.60869026,,1486692.3201293454,,12247566.275998678,,13734258.596128024,378841292.2048183,0.0964578469613494,0.12106536999999999,0.10049572,3.0,8.0,1.0,222.0,234.0,,1.0,,1554.0,,1555.0,1789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-01,1325000000.0,168793626.50326982,,2176995.3811222836,1495970621.8843923,,7814367.379505521,,12922317.719753487,,20736685.099259008,1516707306.9836512,0.09861659047704517,0.11511995000000001,0.09697381999999999,7.0,15.0,,152.0,174.0,,3.0,,1576.0,,1579.0,1753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-01,624948412.3101212,200569572.7406362,,1621453.3365774534,827139438.3873348,650000.0,15513898.847603925,,15579718.961881591,,31743617.809485517,858883056.1968204,0.10155099041776831,0.10678249,0.10040067000000001,7.0,16.0,,92.0,115.0,1.0,4.0,,1745.0,,1750.0,1865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-01,147030320.0,161476915.0563023,48668543.845534995,1413520.5704019764,358589299.47223926,400000.0,8523059.785172138,,15383538.779634917,,24306598.564807057,382895898.0370463,0.106649298434051,0.12091393,0.10643844,3.0,9.0,1.0,122.0,135.0,1.0,3.0,,1366.0,,1370.0,1505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-01,7907790.143084261,182850448.309213,148997943.1859761,1224206.0053211704,340980387.6435945,,1420267.085624509,,15671584.163182566,,17091851.248807076,358072238.8924016,0.15052530546818343,0.13506063,0.13160539999999998,2.0,14.0,1.0,98.0,115.0,,1.0,,2154.0,,2155.0,2270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-01,146500000.0,173769967.39604753,89976279.42583732,1076894.2302199372,411323141.05210483,200000.0,12703000.0,,14571072.62052112,,27474072.62052112,438797213.67262596,0.20737315879088747,0.16678651,0.15012441,3.0,14.0,1.0,63.0,81.0,1.0,3.0,,1553.0,,1557.0,1638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-10-01,481481815.4540649,381162410.94108236,125238636.00865655,2536354.053786114,990419216.45759,,23326494.35919559,,15825579.100506792,,39152073.45970238,1029571289.9172924,0.1845834628900371,0.17650827,0.1576,5.0,25.0,3.0,174.0,207.0,,5.0,,1904.0,,1909.0,2116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
